ship_id,cargo_containers,time_arrived_port,time_docked,time_crane_secured,time_unloading_complete,time_departed_port,wait_time_for_berth,wait_time_for_crane,turnaround_time
1,186,56,56,56,428,428,0,0,372
2,158,417,417,417,733,733,0,0,316
3,144,575,575,575,863,863,0,0,288
4,134,685,733,733,1001,1001,48,0,316
5,76,705,863,863,1015,1015,158,0,310
6,114,725,1001,1001,1229,1229,276,0,504
7,126,732,1015,1015,1267,1267,283,0,535
9,167,1084,1267,1267,1601,1601,183,0,517
8,202,974,1229,1229,1633,1633,255,0,659
10,61,1232,1601,1601,1723,1723,369,0,491
11,166,1234,1633,1633,1965,1965,399,0,731
12,130,1655,1723,1723,1983,1983,68,0,328
13,116,1869,1965,1965,2197,2197,96,0,328
14,180,1898,1983,1983,2343,2343,85,0,445
15,201,1922,2197,2197,2599,2599,275,0,677
16,196,1946,2343,2343,2735,2735,397,0,789
17,108,1990,2599,2599,2815,2815,609,0,825
18,134,2079,2735,2735,3003,3003,656,0,924
19,166,2147,2815,2815,3147,3147,668,0,1000
20,198,2188,3003,3003,3399,3399,815,0,1211
21,126,2302,3147,3147,3399,3399,845,0,1097
23,94,2361,3399,3399,3587,3587,1038,0,1226
22,140,2320,3399,3399,3679,3679,1079,0,1359
24,90,2416,3587,3587,3767,3767,1171,0,1351
25,190,2489,3679,3679,4059,4059,1190,0,1570
26,217,2674,3767,3767,4201,4201,1093,0,1527
27,146,2700,4059,4059,4351,4351,1359,0,1651
28,200,2787,4201,4201,4601,4601,1414,0,1814
29,168,2895,4351,4351,4687,4687,1456,0,1792
30,117,2900,4601,4601,4835,4835,1701,0,1935
31,168,3013,4687,4687,5023,5023,1674,0,2010
32,226,3035,4835,4835,5287,5287,1800,0,2252
33,148,3043,5023,5023,5319,5319,1980,0,2276
35,19,3804,5319,5319,5357,5357,1515,0,1553
36,191,4003,5357,5357,5739,5739,1354,0,1736
34,228,3400,5287,5287,5743,5743,1887,0,2343
38,135,4059,5743,5743,6013,6013,1684,0,1954
37,154,4046,5739,5739,6047,6047,1693,0,2001
40,50,4267,6047,6047,6147,6147,1780,0,1880
39,154,4197,6013,6013,6321,6321,1816,0,2124
41,139,4282,6147,6147,6425,6425,1865,0,2143
42,167,4364,6321,6321,6655,6655,1957,0,2291
43,223,4368,6425,6425,6871,6871,2057,0,2503
44,124,4656,6655,6655,6903,6903,1999,0,2247
45,109,4692,6871,6871,7089,7089,2179,0,2397
46,124,4823,6903,6903,7151,7151,2080,0,2328
47,195,4868,7089,7089,7479,7479,2221,0,2611
48,166,4956,7151,7151,7483,7483,2195,0,2527
49,123,5051,7479,7479,7725,7725,2428,0,2674
50,175,5075,7483,7483,7833,7833,2408,0,2758
