ship_id,arrival_time_minutes,cargo_containers
1,56,186
2,417,158
3,575,144
4,685,134
5,705,76
6,725,114
7,732,126
8,974,202
9,1084,167
10,1232,61
11,1234,166
12,1655,130
13,1869,116
14,1898,180
15,1922,201
16,1946,196
17,1990,108
18,2079,134
19,2147,166
20,2188,198
21,2302,126
22,2320,140
23,2361,94
24,2416,90
25,2489,190
26,2674,217
27,2700,146
28,2787,200
29,2895,168
30,2900,117
31,3013,168
32,3035,226
33,3043,148
34,3400,228
35,3804,19
36,4003,191
37,4046,154
38,4059,135
39,4197,154
40,4267,50
41,4282,139
42,4364,167
43,4368,223
44,4656,124
45,4692,109
46,4823,124
47,4868,195
48,4956,166
49,5051,123
50,5075,175
